שם הספר (ומקור/תרגום),כותב/ת,שנת הוצאה,נושא (בקצרה),קטגוריות (תגיות)
Creative Confidence,Tom & David Kelley,2013,"נכתב ע""י מייסדי IDEO. ספר על ""חשיבה עיצובית"" (Design Thinking) ואיך לשחרר את היצירתיות בכל תהליך עבודה, גם לא ויזואלי.","Design Thinking, חדשנות, ניהול"
עיצוב גרפי בישראל,יורם רוזוב,שנות ה-90,"תיעוד חשוב של ההיסטוריה המקומית, כרזות וסמלים שהם חלק מהתרבות הישראלית.","מקומי, היסטוריה, ישראלי"
"Generative Design

(Visualize, Program, and Create)",B. Gross / H. Bohnacker,2009 (2018),הספר המקיף ביותר לקוד יצירתי (p5.js/Processing). מראה איך להפוך קוד לאמנות ויזואלית מורכבת. חובה לכל מי שמתעסק בג'נרטיב ארט.,"Creative Coding, Processing, דיגיטל, אמנות"
Designing Brand Identity,Alina Wheeler,2003 (מהדורה 6),"המדריך המקצועי המקיף ביותר לניהול מותגים. כולל צ'ק-ליסטים, מתודולוגיות ודוגמאות לכל שלב בבניית זהות מותגית.","מיתוג, ניהול עיצוב, אסטרטגיה, רפרנס"
Draplin Design Co.: Pretty Much Everything,Aaron Draplin,2016,"ספר עבה, צבעוני וכיפי של המעצב האמריקאי המפורסם. מלא בדוגמאות של לוגואים, סקיצות, סיפורים אישיים ועצות פרקטיות ""מהשטח"".","השראה, לוגו, תהליך אישי, פרילאנס"
Stop Stealing Sheep & Find Out How Type Works,Erik Spiekermann,1993,ספר קליל והומוריסטי שמסביר למה בחירת פונט היא קריטית (כמו בחירת טון דיבור). קלאסיקה נגישה מאוד.,"טיפוגרפיה, תקשורת חזותית, למתחילים"
A Smile in the Mind,Beryl McAlhone,1996 (2016),ספר שמתמקד בשנינות (Wit) בעיצוב גרפי. מציג אלפי דוגמאות לשימוש חכם בכפל משמעות ויזואלי ובמינימליזם כדי להעביר מסר חד.,"חשיבה יצירתית, הומור, רעיונאות, השראה"
In Progress,Jessica Hische,2015,הצצה נדירה לתהליך העבודה של אחת ממעצבות ה-Lettering המובילות בעולם. מראה את המעבר מסקיצה בעיפרון לוקטור סופי בתוכנה.,"Lettering, איור, תהליך, וקטור"
Sagmeister: Made You Look,Stefan Sagmeister,2001,ספר בפורמט מיוחד (בתוך נרתיק פלסטיק אדום) שמציג את העבודות הפרובוקטיביות והנועזות של סגמייסטר. השראה לאומץ עיצובי.,"פורטפוליו, עיצוב אקספרימנטלי, השראה"
Ways of Seeing,John Berger,1972,"ספר תאוריה קצר אך משנה תודעה. מבוסס על סדרת ה-BBC, ומלמד איך להסתכל על דימויים חזותיים בהקשר תרבותי ופוליטי.","תאוריה, ביקורת התרבות, אמנות"
The Visual Display of Quantitative Information,Edward Tufte,1983,"הספר החשוב ביותר בתחום ה-Data Visualization. מלמד איך להציג מידע מורכב בצורה נקייה, ברורה ואמינה, בלי ""לקשט"" סתם.","אינפוגרפיקה, נתונים, עיצוב מידע"
Paula Scher: Works,Paula Scher,2017,מונוגרפיה ענקית של המעצבת הראשית בפנטגרם. מציגה עשרות שנים של מיתוג מוסדות תרבות (כמו התיאטרון הציבורי בניו יורק) וטיפוגרפיה אקספרסיבית.,"טיפוגרפיה, מיתוג סביבתי, השראה"
Know Your Onions: Graphic Design,Drew de Soto,2012,"מדריך טכני ופרקטי מאוד למעצבים ג'וניורים. מלמד את הדברים שלא מלמדים בבית ספר: דפוס, סגירת קבצים, קיצורי מקלדת ועבודה בסטודיו.","פרקטיקה, דפוס, קריירה, טכני"
"Wabi-Sabi: for Artists, Designers, Poets...",Leonard Koren,1994,"ספר קטן על האסתטיקה היפנית של חוסר השלמות, הארעיות והצניעות. השראה נהדרת לעיצוב נקי, טבעי ולא מתאמץ.","פילוסופיה, אסתטיקה, עיצוב יפני"
"It's Not How Good You Are, It's How Good You Want To Be",Paul Arden,2003,ספר כיס שנחשב לקלאסיקה בעולם הפרסום. משפטי מחץ קצרים ועיצוב נועז שנותנים מוטיבציה לחשוב בגדול.,"מוטיבציה, פרסום, ניהול קריירה"
Graphic Design: The New Basics,Ellen Lupton / J. Phillips,2008,"ספר שסוגר את הפער בין עיצוב פורמלי (נקודה, קו, כתם) לבין עיצוב עכשווי (שכבות, שקיפויות, זמן ותנועה).","יסודות העיצוב, קומפוזיציה, לימודים"
House Industries: The Process is the Inspiration,House Industries,2017,"סיפורו של בית הפונטים המפורסם. ספר עמוס בטקסטורות, צילומים וסקיצות שמראה איך אובססיה לפרטים יוצרת עיצוב מעולה.","טיפוגרפיה, וינטג', תהליך, קראפט"
Feck Perfuction,James Victore,2019,"ספר בוטה וישיר שקורא למעצבים להפסיק לנסות להיות ""מושלמים"" ולהתחיל להיות מעניינים, רועשים ואותנטיים.","יצירתיות, אומץ, התפתחות אישית"
Meggs' History of Graphic Design,Philip B. Meggs,1983 (עודכן),האנציקלופדיה ההיסטורית. ספר כבד מאוד שסוקר את כל תולדות העיצוב הגרפי מהמצאת הכתב ועד ימינו. מצוין כרפרנס היסטורי.,"היסטוריה, אקדמיה, רפרנס"
Why Fonts Matter,Sarah Hyndman,2016,ספר שעוסק בפסיכולוגיה של הטיפוגרפיה בצורה חווייתית – איך פונטים משפיעים על הטעם של האוכל או על מצב הרוח שלנו.,"פסיכולוגיה, טיפוגרפיה, מדע"
Visual Grammar,Christian Leborg,2006,"מילון ויזואלי מופשט. מגדיר מושגים כמו ""מתח"", ""מקצב"", ""כיוון"" ו""משקל"" דרך דיאגרמות פשוטות. מצוין להבנת קומפוזיציה.","תאוריה, שפה חזותית, אבסטרקט"
Caps Lock,Ruben Pater,2021,"ספר ביקורתי וחשוב למעצב המודרני. בוחן את הקשר בין עיצוב גרפי לקפיטליזם, פוליטיקה ואתיקה.","אתיקה, חברה, ביקורת, עיצוב עכשווי"
